Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time,Latitude,Longtitude
Super Penyet Setiabudi,https://lh5.googleusercontent.com/p/AF1QipMufnt22cDUcyEQ8w46VX6QeSYvPedmO4sduvs0=w122-h92-k-no,https://www.google.com/maps/place/Super+Penyet+Setiabudi/data=!4m7!3m6!1s0x2e7089582652295d:0xb3c9baf1cfbb81de!8m2!3d-7.0586339!4d110.4142972!16s%2Fg%2F1hm5854_b!19sChIJXSlSJliJcC4R3oG7z_G6ybM?authuser=0&hl=id&rclk=1,"4,4",(5.702),Ayam,Jl. Setia Budi No.207, ⋅ Tutup pukul 21.30,110.415419,110.415419
Warung Makan Mbak Deny Banyumanik,https://lh5.googleusercontent.com/p/AF1QipOiflJsaNXkGwji_MoKR7D-eTwMqHDUhhh85Zf7=w122-h92-k-no,https://www.google.com/maps/place/Warung+Makan+Mbak+Deny+Banyumanik/data=!4m7!3m6!1s0x2e708959a56c7dfb:0xf2ff46f4f141b089!8m2!3d-7.060411!4d110.41194!16s%2Fg%2F11g8cw91l9!19sChIJ-31spVmJcC4RibBB8fRG__I?authuser=0&hl=id&rclk=1,"4,6",(63),Jawa,Jl. Potrosari Tengah No.16, ⋅ Tutup pukul 15.00,110.415419,110.415419
Soto Ayam Bu Yuswo Banyumanik,https://lh5.googleusercontent.com/p/AF1QipNHshltBxE-Hs2507rHeRbENNhtH_gd8-w9HfG4=w80-h106-k-no,https://www.google.com/maps/place/Soto+Ayam+Bu+Yuswo+Banyumanik/data=!4m7!3m6!1s0x2e708f7c7a469d89:0x68006ba7b5da2e9!8m2!3d-7.0658353!4d110.427632!16s%2Fg%2F11k02hyqjl!19sChIJiZ1GenyPcC4R6aJde7oGgAY?authuser=0&hl=id&rclk=1,"4,6",(309),Soto Ayam,Jl. Tusam Timur Raya No.22, ⋅ Tutup pukul 15.00,110.415419,110.415419
Rumah Makan Silo,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ot5jTXen8AF-gf_MrhQmhA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=75.455826&pitch=0&thumbfov=100,https://www.google.com/maps/place/Rumah+Makan+Silo/data=!4m7!3m6!1s0x2e7089385907c62d:0x758f74411c13d284!8m2!3d-7.079269!4d110.4115409!16s%2Fg%2F11bc7r70mb!19sChIJLcYHWTiJcC4RhNITHEF0j3U?authuser=0&hl=id&rclk=1,"4,0",(1),Restoran,"JL Perintis Kemerdekaan, No. 211", ⋅ Tutup pukul 22.00,110.415419,110.415419
Soto Ayam Grafika Banyumanik,https://lh5.googleusercontent.com/p/AF1QipOrVBCba7EVXz1-cOL6kPWgrLV98LdIiaCaiA4X=w189-h92-k-no,https://www.google.com/maps/place/Soto+Ayam+Grafika+Banyumanik/data=!4m7!3m6!1s0x2e7089df38251099:0x3f0a51584a325128!8m2!3d-7.0762874!4d110.4210524!16s%2Fg%2F11dzt73lsw!19sChIJmRAlON-JcC4RKFEySlhRCj8?authuser=0&hl=id&rclk=1,"4,7",(850),Soto Ayam,"Komplek Ruko, Jl. Cemara Raya Jl. Grafika Raya", ⋅ Tutup pukul 15.30,110.415419,110.415419
Warung Makan WK,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nRipdbxnyCiY9kLoxmd9YA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=267.50195&pitch=0&thumbfov=100,https://www.google.com/maps/place/Warung+Makan+WK/data=!4m7!3m6!1s0x2e708946f36fe4df:0xedc87ce2acf023bd!8m2!3d-7.0738595!4d110.4108834!16s%2Fg%2F11f04d9dpz!19sChIJ3-Rv80aJcC4RvSPwrOJ8yO0?authuser=0&hl=id&rclk=1,,,Jawa,"WCG6+F92, Jalan Perintis Kemerdekaan, Terminal Banyumanik, Banyumanik", ⋅ Tutup pukul 21.00,110.415419,110.415419
Tower Cafe Semarang,https://lh5.googleusercontent.com/p/AF1QipNJn5ZGYH0El9AguL8RAhBwSGdtYvgNhPdnrDGD=w122-h92-k-no,https://www.google.com/maps/place/Tower+Cafe+Semarang/data=!4m7!3m6!1s0x2e708eaf78043143:0x3436986c87152b9f!8m2!3d-7.0634902!4d110.4367697!16s%2Fg%2F11c2nqfh01!19sChIJQzEEeK-OcC4RnysVh2yYNjQ?authuser=0&hl=id&rclk=1,"4,2",(1.893),Masakan Asia,Jl. Banjarsari Selatan No.49B,,110.415419,110.415419
Kedai Diajeng Banyumanik,https://lh5.googleusercontent.com/p/AF1QipPkvjMGvWp7Il2LgV7g-ueHJTKZjNYscO4ZIkxn=w122-h92-k-no,https://www.google.com/maps/place/Kedai+Diajeng+Banyumanik/data=!4m7!3m6!1s0x2e7089ba7b47c48f:0xae981cb7512fed7c!8m2!3d-7.0647399!4d110.4198265!16s%2Fg%2F11fvjt5qy6!19sChIJj8RHe7qJcC4RfO0vUbccmK4?authuser=0&hl=id&rclk=1,"4,3",(9),Restoran,, ⋅ Tutup pukul 22.00,110.415419,110.415419
Rumah Makan Bukit Kapau,https://lh5.googleusercontent.com/p/AF1QipPNdeOTNF-EwGaiTBIFUupYE4xq4eZrTeV_pT3N=w163-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+Bukit+Kapau/data=!4m7!3m6!1s0x2e708945aa1ae285:0x9b10618ccebfa873!8m2!3d-7.0699582!4d110.4116642!16s%2Fg%2F11cjvw2s_7!19sChIJheIaqkWJcC4Rc6i_zoxhEJs?authuser=0&hl=id&rclk=1,"4,4",(123),Padang,Jl. Perintis Kemerdekaan No.230, ⋅ Tutup pukul 20.30,110.415419,110.415419
Rumah Makan Solok,https://lh5.googleusercontent.com/p/AF1QipNsCjb8ZtAnUslHsXcgDoDK340kBLqyxOny70qf=w122-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+Solok/data=!4m7!3m6!1s0x2e70895397cf06e7:0x73a15ef621ce6724!8m2!3d-7.0629804!4d110.4222953!16s%2Fg%2F11h2cb69b0!19sChIJ5wbPl1OJcC4RJGfOIfZeoXM?authuser=0&hl=id&rclk=1,"4,0",(1),Padang,Jl. Durian Raya No.16, ⋅ Tutup pukul 21.00,110.415419,110.415419
Rumah Makan Indah Raso 3 Pedalangan,https://lh5.googleusercontent.com/p/AF1QipPSGIRaHYtKTZgeivlJC3rZ_7MYHZHyzUJ_uJki=w80-h142-k-no,https://www.google.com/maps/place/Rumah+Makan+Indah+Raso+3+Pedalangan/data=!4m7!3m6!1s0x2e708f0368f57161:0x726b9e919998ca00!8m2!3d-7.0656156!4d110.429364!16s%2Fg%2F11r_vppmnt!19sChIJYXH1aAOPcC4RAMqYmZGea3I?authuser=0&hl=id&rclk=1,"4,9",(9),Indonesia,Jl. Durian Raya No.83,,110.415419,110.415419
Bebek Goreng H. Slamet Banyumanik,https://lh5.googleusercontent.com/p/AF1QipPvqnQX7mbXEjTTEQZArnux5VpsfPki8ipzoHCi=w163-h92-k-no,https://www.google.com/maps/place/Bebek+Goreng+H.+Slamet+Banyumanik/data=!4m7!3m6!1s0x2e7089ccd03ba309:0xd0b74b5c1d456a91!8m2!3d-7.0616418!4d110.4170947!16s%2Fg%2F11f9z98h33!19sChIJCaM70MyJcC4RkWpFHVxLt9A?authuser=0&hl=id&rclk=1,"4,6",(1.367),Ayam,Jl. Durian Raya No.27, ⋅ Tutup pukul 21.30,110.415419,110.415419
Sim Six (Sim-6) garden Resto Ngesrep timur,https://lh5.googleusercontent.com/p/AF1QipPfQx34z91up3yw3xFZ58eSNjXYYqkHoKD-C7RP=w163-h92-k-no,https://www.google.com/maps/place/Sim+Six+%28Sim-6%29+garden+Resto+Ngesrep+timur/data=!4m7!3m6!1s0x2e708bf974d0e681:0x6f6558507a090742!8m2!3d-7.0493266!4d110.4215308!16s%2Fg%2F1hm1xx7h5!19sChIJgebQdPmLcC4RQgcJelBYZW8?authuser=0&hl=id&rclk=1,"4,5",(4.265),Restoran,Jl. Ngesrep Tim. V No.25,,110.415419,110.415419
Warung Penyet OISHI,https://lh5.googleusercontent.com/p/AF1QipPNFbf8CCom3jhE71frRIAXvghKU43oG7qvSUf4=w122-h92-k-no,https://www.google.com/maps/place/Warung+Penyet+OISHI/data=!4m7!3m6!1s0x2e708eaa8b898553:0xacfc9ff7555cc5e3!8m2!3d-7.0558862!4d110.4293417!16s%2Fg%2F11c1xfjzpt!19sChIJU4WJi6qOcC4R48VcVfef_Kw?authuser=0&hl=id&rclk=1,"4,4",(713),Ayam,Jl. Tirto Agung No.20, ⋅ Tutup pukul 22.00,110.415419,110.415419
Soto Angkring Mas Boed Banyumanik,https://lh5.googleusercontent.com/p/AF1QipPagwzdJYWK3WplwHtbj6Q9xN6bskcytzT0Gmw6=w122-h92-k-no,https://www.google.com/maps/place/Soto+Angkring+Mas+Boed+Banyumanik/data=!4m7!3m6!1s0x2e70894e8b57d6e3:0x37e58e05baad6af1!8m2!3d-7.0695575!4d110.4188348!16s%2Fg%2F1hm456_qn!19sChIJ49ZXi06JcC4R8WqtugWO5Tc?authuser=0&hl=id&rclk=1,"4,5",(2.105),Soto Ayam,Jl. Jati Raya No.F-3, ⋅ Tutup pukul 15.30,110.415419,110.415419
King Potato Banyumanik,https://lh5.googleusercontent.com/p/AF1QipOI91IuAr7kdbJ2QuzNvJj5oyMW4aZLZNv96P9u=w80-h106-k-no,https://www.google.com/maps/place/King+Potato+Banyumanik/data=!4m7!3m6!1s0x2e7089734cd53dd5:0x95d179409368493b!8m2!3d-7.066172!4d110.4186692!16s%2Fg%2F11rstbcgsy!19sChIJ1T3VTHOJcC4RO0lok0B50ZU?authuser=0&hl=id&rclk=1,"5,0",(9),Makanan Siap Saji,"Ruko Taman Setiabudi, Jl. Sukun Raya", ⋅ Tutup pukul 20.00,110.415419,110.415419
Warung Makan Prasmanan,https://lh5.googleusercontent.com/p/AF1QipNuM5UYf0QiKIuQyQBVhL-96DfgJU3CSK7jy3be=w122-h92-k-no,https://www.google.com/maps/place/Warung+Makan+Prasmanan/data=!4m7!3m6!1s0x2e70897d9f0dc457:0x888c3dbfd7d43a6b!8m2!3d-7.073219!4d110.4113922!16s%2Fg%2F11hytts6kj!19sChIJV8QNn32JcC4RazrU1789jIg?authuser=0&hl=id&rclk=1,"4,5",(19),Prasmanan,Jl. Kr. Rejo Raya No.2,,110.415419,110.415419
Converso Coffee & Eatery,https://lh5.googleusercontent.com/p/AF1QipNyd5SL7UDFi_oLO5zladk8frkfuYibSVZcwFrN=w163-h92-k-no,https://www.google.com/maps/place/Converso+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e708956b5ba41b7:0x146055616491d18a!8m2!3d-7.0672756!4d110.431628!16s%2Fg%2F11c3rlyxky!19sChIJt0G6tVaJcC4RitGRZGFVYBQ?authuser=0&hl=id&rclk=1,"4,4",(1.608),Restoran,Jl. Mulawarman Raya No.1A, ⋅ Tutup pukul 23.00,110.415419,110.415419
Kedai Balungan Magelang - Banyumanik,https://lh5.googleusercontent.com/p/AF1QipO96h4U9LYuASA5FVtI-EYMoDoNd9tNBGPDNxM6=w163-h92-k-no,https://www.google.com/maps/place/Kedai+Balungan+Magelang+-+Banyumanik/data=!4m7!3m6!1s0x2e7089504a07aaa7:0xa5c6a1cd160e570!8m2!3d-7.0659202!4d110.4169287!16s%2Fg%2F11fy_db9xw!19sChIJp6oHSlCJcC4RcOVg0RxqXAo?authuser=0&hl=id&rclk=1,"4,3",(7),Rumah Makan,Jl. Sukun Raya No.47c, ⋅ Tutup pukul 22.00,110.415419,110.415419
Bebek & Ayam Goreng Mas Ali Banyumanik,https://lh5.googleusercontent.com/p/AF1QipMzTfglA9HL9Duz2vbyrHd_dnUtD-ago76sopz_=w163-h92-k-no,https://www.google.com/maps/place/Bebek+%26+Ayam+Goreng+Mas+Ali+Banyumanik/data=!4m7!3m6!1s0x2e708f33a6a3118d:0x987b6ce85f4121d7!8m2!3d-7.0682903!4d110.4340535!16s%2Fg%2F11t7vx6_2v!19sChIJjRGjpjOPcC4R1yFBX-hse5g?authuser=0&hl=id&rclk=1,"4,8",(40),Restoran,Jl. Mulawarman Raya, ⋅ Tutup pukul 22.00,110.415419,110.415419
