Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
GEPREK SOHOR Woltermonginsidi,https://lh5.googleusercontent.com/p/AF1QipPOiJGkMcgTNz0FlMcx_rTviXsMoYZD8NWqW8uv=w80-h142-k-no,https://www.google.com/maps/place/GEPREK+SOHOR+Woltermonginsidi/data=!4m7!3m6!1s0x2e70f34bf111c30b:0x743c4ae9db19ff70!8m2!3d-6.9712613!4d110.4814018!16s%2Fg%2F11fkf55zj6!19sChIJC8MR8UvzcC4RcP8Z2-lKPHQ?authuser=0&hl=id&rclk=1,"4,7",(1.211),Restoran,Jl. Wolter Monginsidi, ⋅ Tutup pukul 22.00
Warung mak e,https://lh5.googleusercontent.com/p/AF1QipMpDWbPKh_ASYezDqp6Nw8qqtijPY8hRZo4Hxoo=w122-h92-k-no,https://www.google.com/maps/place/Warung+mak+e/data=!4m7!3m6!1s0x2e70f32c5172ccfd:0x8fb4e64d53630b20!8m2!3d-6.9704596!4d110.4653985!16s%2Fg%2F11c6psccdc!19sChIJ_cxyUSzzcC4RIAtjU03mtI8?authuser=0&hl=id&rclk=1,"1,0",(1),Jawa,, ⋅ 21.00 ⋅ Buka Kam pukul 07.00
Mie Ayam Ceker dan Bakso Shobat,https://lh5.googleusercontent.com/p/AF1QipMsZPmgxCP6I8ceJk_JIHjV64kD7F_Yu_7UbJbx=w122-h92-k-no,https://www.google.com/maps/place/Mie+Ayam+Ceker+dan+Bakso+Shobat/data=!4m7!3m6!1s0x2e70f32d37b316d3:0xf686fbb55fe868bb!8m2!3d-6.9728726!4d110.4631579!16s%2Fg%2F11dyymwhpg!19sChIJ0xazNy3zcC4Ru2joX7X7hvY?authuser=0&hl=id&rclk=1,"4,5",(566),Bakso,"2FG7+V73, Jl. Muktiharjo Raya", ⋅ 21.00 ⋅ Buka Kam pukul 11.00
Warung Makan Sedep,https://lh5.googleusercontent.com/p/AF1QipPF_MAyXyEa5Z00ZVeSFgTycYo6eNpn16ddzIa3=w122-h92-k-no,https://www.google.com/maps/place/Warung+Makan+Sedep/data=!4m7!3m6!1s0x2e708cd66b5bab21:0xa6f0db385bec386d!8m2!3d-6.9793236!4d110.4723833!16s%2Fg%2F11g8d8ylt1!19sChIJIatba9aMcC4RbTjsWzjb8KY?authuser=0&hl=id&rclk=1,"4,6",(41),Jawa,Jl. Kwaron I No.25, ⋅ 21.00 ⋅ Buka Kam pukul 09.00
"FOOD CORNER ""A-21""",https://lh5.googleusercontent.com/p/AF1QipOGshQouy70ulveWAnT98Sd-jGubfGtMGrSdmL1=w176-h92-k-no,https://www.google.com/maps/place/FOOD+CORNER+%22A-21%22/data=!4m7!3m6!1s0x2e70f353a0582b7f:0x6c6a5e2eff772d1e!8m2!3d-6.9677567!4d110.4664353!16s%2Fg%2F11sx4hbgz0!19sChIJfytYoFPzcC4RHi13_y5eamw?authuser=0&hl=id&rclk=1,"5,0",(7),Indonesia,Jl. Kapas Raya No.21,
Warung Pecel Lele,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8sswH1BKUuROg0CSpjgveQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=155.33527&pitch=0&thumbfov=100,https://www.google.com/maps/place/Warung+Pecel+Lele/data=!4m7!3m6!1s0x2e70f32dc694e409:0xe71d89238879d1b4!8m2!3d-6.9694845!4d110.4641478!16s%2Fg%2F11f10572xt!19sChIJCeSUxi3zcC4RtNF5iCOJHec?authuser=0&hl=id&rclk=1,,,Pecel Lele,Jl. Padi XIII No.97, ⋅ Tutup pukul 23.00
Bakso setia kawan 5000,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=w5Z6JBQdhgg3E7XDoApdcQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=79.2613&pitch=0&thumbfov=100,https://www.google.com/maps/place/Bakso+setia+kawan+5000/data=!4m7!3m6!1s0x2e708d8b1cb1f2c9:0x3623ecf049b95274!8m2!3d-6.975368!4d110.4659595!16s%2Fg%2F11sj9g_m5s!19sChIJyfKxHIuNcC4RdFK5SfDsIzY?authuser=0&hl=id&rclk=1,,,Bakso,"2FF8+V96, Jl. Muktiharjo Raya", ⋅ 21.00 ⋅ Buka Kam pukul 11.00
Nasi goreng dan ayam bakar wong pati,https://lh5.googleusercontent.com/p/AF1QipN6UIBMnFkSniHISG50KCW7WfxVtcfXPNaCVvH7=w80-h142-k-no,https://www.google.com/maps/place/Nasi+goreng+dan+ayam+bakar+wong+pati/data=!4m7!3m6!1s0x2e70f331550c58a7:0x1d5810198bef8e4c!8m2!3d-6.9686586!4d110.4672343!16s%2Fg%2F11nxrhnxk2!19sChIJp1gMVTHzcC4RTI7vixkQWB0?authuser=0&hl=id&rclk=1,,,Brunch,Blok A dan 9 Jalan Kapas VI perum Indah No.mor 7,
Warung makan Bu Yuni,https://lh5.googleusercontent.com/p/AF1QipN8M-btdu15HthrLTl7wpPyhPkMkorfpmeE8N4o=w163-h92-k-no,https://www.google.com/maps/place/Warung+makan+Bu+Yuni/data=!4m7!3m6!1s0x2e70f3293aeadea9:0x397d92542ae2589a!8m2!3d-6.9663704!4d110.4687954!16s%2Fg%2F11fy93bk60!19sChIJqd7qOinzcC4RmljiKlSSfTk?authuser=0&hl=id&rclk=1,"4,2",(14),Jawa,Jalan Kapas Timur 5 Blok G RT 02 RW 08, ⋅ 21.00 ⋅ Buka Kam pukul 08.00
"Huney ""Seafood"" Story Aneka Kerang",https://lh5.googleusercontent.com/p/AF1QipOnUXUKxQsdLUYldSTVDwrWjQnIhsQWqhZNHElQ=w80-h106-k-no,https://www.google.com/maps/place/Huney+%22Seafood%22+Story+Aneka+Kerang/data=!4m7!3m6!1s0x2e70f3be84fb44fb:0xdca129e2ff99ec78!8m2!3d-6.9690934!4d110.4654163!16s%2Fg%2F11p776bt8h!19sChIJ-0T7hL7zcC4ReOyZ_-Ipodw?authuser=0&hl=id&rclk=1,"5,0",(5),Hidangan Laut,Jl. Padi V Perum Genuk Indah No.147, ⋅ 21.00 ⋅ Buka Kam pukul 15.00
RUMAH MAKAN PADANG JAYA,https://lh5.googleusercontent.com/p/AF1QipOkbvOLo50_vg1tMHLEAEq1fYTK8aqrU00DUuzF=w158-h92-k-no,https://www.google.com/maps/place/RUMAH+MAKAN+PADANG+JAYA/data=!4m7!3m6!1s0x2e708d290752fd97:0x8e70762b20bfa7a1!8m2!3d-6.9752903!4d110.465866!16s%2Fg%2F11s975jvl5!19sChIJl_1SBymNcC4Roae_ICt2cI4?authuser=0&hl=id&rclk=1,"5,0",(1),Rumah Makan,Jl. Muktiharjo Raya, ⋅ Tutup pukul 22.00
KEDAI TAMAN,https://lh5.googleusercontent.com/p/AF1QipOGSSLzZ3d93j3KkLk8SGfHcKCMi4tMfjY5SWuz=w122-h92-k-no,https://www.google.com/maps/place/KEDAI+TAMAN/data=!4m7!3m6!1s0x2e70f3b29baa32b9:0x661a72c2b0f72b4b!8m2!3d-6.968347!4d110.4644456!16s%2Fg%2F11llk6p3nx!19sChIJuTKqm7LzcC4RSyv3sMJyGmY?authuser=0&hl=id&rclk=1,"5,0",(2),Brunch,Jl. Padi III, ⋅ Tutup pukul 22.00
